ID,name
1001,Pancake Penguin
1002,Souffle Seal
1003,Cookie Cougar
1004,Pate Panda
1005,Cobbler Crab
1006,Gravy Giraffe
1007,Chowder Cheetah
1008,Pie Puma
1009,Muffin Marmoset
1010,Pastry Porcupine
1011,Tart Toucan
1012,Pudding Possum
1013,Lasagna Lion
1014,Chili Capybara
1015,Sushi Stork
1016,Noodle Nutria
1017,Cake Coyote
1018,Fondue Flamingo
1019,Taco Tapir
1020,Risotto Rabbit
1021,Casserole Crocodile
1022,Stirfry Sloth
1023,Stew Sealion
1024,Macaroni Mole
1025,Jambalaya Jaguar
1026,Sorbet Squirrel
1027,Pizza Panther
1028,Curry Cat
1029,Waffle Walrus
1030,Fricassee FennecFox
1031,Goulash Gazelle
1032,Tart Turtle
1033,Tagine Tiger
1034,Meringue Mouse
1035,Fondue Fox
1036,Chutney Crocodile
1037,Curry Camel
1038,Cake Cat
1039,Pie Pig
1040,Quiche Quokka
1041,Pancake Panda
1042,Waffle Weasel
1043,Soup Seal
1044,Tiramisu Toucan
1045,Gelato Giraffe
1046,Custard Cougar
1047,Casserole Civet
1048,Gumbo Goat
1049,Donut Duck
1050,Kebab Kangaroo
1051,Crepes Cheetah
1052,Stroganoff Squirrel
1053,Paella Porcupine
1054,Risotto Raccoon
1055,Pavlova Puma
1056,Frittata Flamingo
1057,Teriyaki Tortoise
1058,Taco Tiger
1059,Cobbler Coyote
1060,Marinade Mole
1061,Sorbet Swan
1062,Crisps Cockatoo
1063,Souffle Skunk
1064,Cannelloni Crow
1065,StirFry Sheep
1066,Gratin Gazelle
